# Simple database for CleanHome by Henning Mersch <mail@henning-mersch.de>
# Version: v0.8
# Homepage: http://cleanhome.sourceforge.net 
# Format: 
# File|AppName|AppDescription|AppHomepage|Contributor
# Please send new entries via email to cleanhome@hmersch.de - any contribution is welcome!
.adobe|Adobe Product Family|All Adobe Products like Flash and Acrobat||Henning Mersch
.aspell.de.prepl|ASpell|||Henning Mersch
.aspell.en.prepl|ASpell|||Henning Mersch
.azureus|Azureus|P2P Application, Bittorrent|azureus.sf.net|Henning Mersch
.bash_profile|Bash|Bash profile||Henning Mersch
.camstream|CamStream|Collection of tools for webcams and other video-devices|http://www.smcc.demon.nl/camstream/|Henning Mersch
.castle-combat.config|CastleCombat|Clone of Rampart|http://user.cs.tu-berlin.de/~karlb/castle-combat/|Henning Mersch
.claws-mail|Claws Mail|Mail program|http://www.claws-mail.org/|Henning Mersch
.com.zerog.registry.xml|Poseidon|UML Tool||Henning Mersch
.conkyrc|Conky|Conky is a free, light-weight system monitor for X|http://conky.sourceforge.net/|Henning Mersch
.cups|Cups|Cups default printer config||Henning Mersch
.dbus|DBus|System||Henning Mersch
.devilspie.xml|Devilspie|Window matching util|http://www.burtonini.com/blog/computers/devilspie|Henning Mersch
.dvdcss|libdvdcss|Spool Dir of DVD Decoding by libdvdcss||Henning Mersch
.emacs|Emacs| The GNU Emacs editor - config dir||Henning Mersch
.enigmarc2|Enigma|Email Encryption Plugin e.g. for thunderbird||Henning Mersch
.ethereal|Ethereal|Ethernet sniffer||Henning Mersch
.fbhighlevelshistory|Frozen Bubble|||Henning Mersch
.fbrc|Frozen Bubble|||Henning Mersch
.fontconfig|Fontconfig|||Henning Mersch
.gammurc|Gammy|Phone connectivity|http://www.gammu.org/wiki/index.php?title=Gammu:Main_Page|Henning Mersch
.gconf|Various|RECURSIVE Anybody able to write a special plugin?||Henning Mersch
.gdbinit|GDB|Config for GNU Debugger's search path||Henning Mersch
.gnokii-errors|gnokii|gnokii provides tools and a user space driver for use with mobile phones|http://www.gnokii.org/|Henning Mersch
.gnome2|Gnome|Desktop management|http://www.gnome.org/|Henning Mersch
.gnupg|GnuPG|GPG - ecryption system e.g. for mails||Henning Mersch
.googleearth|Google Earth|Google Earth config files||Henning Mersch
.grisbirc|Grisbi|[no eng version]Grisbi ist ein Programm für die Verwaltung von Finanzen. Config file|http://www.grisbi.org|Henning Mersch
.gtkrc-2.0-kde|GTK|GTK config file, version specific||Henning Mersch
.ICEauthority|Xauthority|used by X system for authentification||Henning Mersch
.install4j|Install4J|a powerful multi-platform Java installer builder|http://www.ej-technologies.com/products/install4j/overview.html|Henning Mersch
.ispell_default|ISpell|Config for ISpell||Henning Mersch
.ispell_ngerman|ISpell||Description:config for german dictionary of ISpell|Henning Mersch
.jdev_jdk|JDeveloper|Oracle Java Development IDE config files||Henning Mersch
.k-yamo.rc|K-Yamo|handle MP3- and Oggvorbis-tags.|http://k-yamo.sourceforge.net/|Henning Mersch
.kde|KDE|RECURSIVE KDE Desktop Environment - Anybody able to write a special plugin?|http://www.kde.org/|Henning Mersch
.kedpm|KED passwort Manager|Passwort Manager|http://kedpm.sourceforge.net/|Henning Mersch
.kxmame|kxmame|Mame frontend for KDE|http://www.kde-apps.org/content/show.php?content=28270|Henning Mersch
.labviewrc|LabView|Config file for LabView||Henning Mersch
.lesshst|less|unix command less history file||Henning Mersch
.local|Various|RECURSIVE Anybody able to write a special plugin?||Henning Mersch
.mailcap|Java Webstart|Java Webstart config file||Henning Mersch
.mc|MidnightCommander|Config files for this file manager - nothon commander clone||Henning Mersch
.mcoprc|MCOP|Multimedia Communication Protocol - part of KDE||Henning Mersch
